post_uri,reply_uri,reply_author,reply_text,reply_createdAt
at://did:plc:xpbgjg3nikgmh2whlcz2bncb/app.bsky.feed.post/3lg7swl47rs2j,at://did:plc:bhr7yry743xn6bzrctnmymt3/app.bsky.feed.post/3lg7u7emvcc2f,did:plc:bhr7yry743xn6bzrctnmymt3,Brother we do actually have the numbers and even if every single third party vote went to Kamala she still would've lost,2025-01-21T02:57:46.741Z
at://did:plc:nyjczecuu5bntqrzao2e2z3o/app.bsky.feed.post/3lg7sh3x7qk2c,at://did:plc:nyjczecuu5bntqrzao2e2z3o/app.bsky.feed.post/3lg7sms5pw22c,did:plc:nyjczecuu5bntqrzao2e2z3o,You cannot fight for other people if your own life is at risk. You cannot help others before you help yourself. Y’all got too comfortable and forgot laws are just paper. This is going to get so much worse.,2025-01-21T02:29:29.649Z
at://did:plc:qs2qjwccp7qihwec5ahpobfg/app.bsky.feed.post/3lg7rumqwy22r,at://did:plc:rhozrohemdupx5ojybcjjjcy/app.bsky.feed.post/3lg7soonr2222,did:plc:rhozrohemdupx5ojybcjjjcy,You can count on it. $$$$$$$,2025-01-21T02:30:33.089Z
at://did:plc:lnwubo43czcmve5stlpgty3g/app.bsky.feed.post/3lg7qy7mg222t,at://did:plc:wyi7cw4dcahfzs6nr4oxscum/app.bsky.feed.post/3lgaue2b7is27,did:plc:wyi7cw4dcahfzs6nr4oxscum,Back in her hole for another 4yrs lol,2025-01-21T12:33:03.380Z
at://did:plc:t4q7hid7mxqcf5ldz5ellsbu/app.bsky.feed.post/3lg7qqsym6s26,at://did:plc:ywqiffybfatf4tytkb7n52y4/app.bsky.feed.post/3lg7ul4bao22c,did:plc:ywqiffybfatf4tytkb7n52y4,It's time for Dems to stop courting them and just ignore them. Democracy was on the line in 2024 and it still wasn't a good reason for them to vote Dem. Bye.,2025-01-21T03:04:20.625Z
at://did:plc:t4q7hid7mxqcf5ldz5ellsbu/app.bsky.feed.post/3lg7qqsym6s26,at://did:plc:uttfb2z4ro67of2earjl3cgn/app.bsky.feed.post/3lg7rskkhxk22,did:plc:uttfb2z4ro67of2earjl3cgn,,2025-01-21T02:14:49.253Z
at://did:plc:t4q7hid7mxqcf5ldz5ellsbu/app.bsky.feed.post/3lg7qqsym6s26,at://did:plc:tixnqhvtxb56kifk2qkvkbhe/app.bsky.feed.post/3lganxea2722b,did:plc:tixnqhvtxb56kifk2qkvkbhe,In his last term they accosted a pregnant Chesea Clinton at a memorial instead of him.  Misogynist cowards,2025-01-21T10:38:35.173Z
at://did:plc:t4q7hid7mxqcf5ldz5ellsbu/app.bsky.feed.post/3lg7qqsym6s26,at://did:plc:nrxmomzg3tf3nakroiohcywb/app.bsky.feed.post/3lg7vzdtloc2n,did:plc:nrxmomzg3tf3nakroiohcywb,Didn't he want to shoot the protesters when he did his little bible trick,2025-01-21T03:30:12.069Z
at://did:plc:cnln4b3ezefzqrn6zf6t4qnb/app.bsky.feed.post/3lg7qk3lnxs2r,at://did:plc:cb2kz77ekokloa5zkjine6cg/app.bsky.feed.post/3lg7r3lcihc26,did:plc:cb2kz77ekokloa5zkjine6cg,How about taking accountability for refusal to budge on an arms embargo and international law?,2025-01-21T02:01:58.297Z
at://did:plc:elxxbctagjwztau22ykugnzm/app.bsky.feed.post/3lg7qf76ezk2y,at://did:plc:7hmahzvdtgkoubyn7cvzcrwz/app.bsky.feed.post/3lg7qjwzqzk2j,did:plc:7hmahzvdtgkoubyn7cvzcrwz,If the Senate convicted him then we wouldn't be in this nightmare again.,2025-01-21T01:52:06.612Z
at://did:plc:ko5xja3eczkoqyvwmoyqeazo/app.bsky.feed.post/3lg7qetbrdk2e,at://did:plc:acqslzsxxhwfhkiqebyriajo/app.bsky.feed.post/3lga5ixtf2s22,did:plc:acqslzsxxhwfhkiqebyriajo,Don’t forget the Bernie or Bust voters. They really busted this shit & set us on this path too.,2025-01-21T05:44:12.544Z
at://did:plc:kzhfz5fo4ouhff3foqflafi3/app.bsky.feed.post/3lg7qeqihw22s,at://did:plc:ctc6pnwmli5yh5r5ewdmqwp4/app.bsky.feed.post/3lg7qksebfk22,did:plc:ctc6pnwmli5yh5r5ewdmqwp4,Sitting at home counting her money and waiting for 2028.,2025-01-21T01:52:35.270Z
at://did:plc:cnln4b3ezefzqrn6zf6t4qnb/app.bsky.feed.post/3lg7qc26mz22r,at://did:plc:ckahys3fh3trlbtt5cfwf3xn/app.bsky.feed.post/3lg7qhbyc4c2o,did:plc:ckahys3fh3trlbtt5cfwf3xn,"I’m resisting authoritarianism. 
I’m resisting fascism.
I’m resisting for everyone who has less power in the face of white Christian nationalism. 

That’s what I’m resisting.",2025-01-21T01:50:37.438Z
at://did:plc:sc6abf6ax7kaxyytbg6xjvtk/app.bsky.feed.post/3lg7pmminhc24,at://did:plc:4n2kckzrlzjldxlyvgozyno3/app.bsky.feed.post/3lg7prbcjdk2y,did:plc:4n2kckzrlzjldxlyvgozyno3,and now to do it all over again with our own election😑,2025-01-21T01:38:18.516Z
at://did:plc:vhbwcop2r4fgou5goqxnv7fp/app.bsky.feed.post/3lg7oujsgzk2r,at://did:plc:st356ffwp3cf7o7y2hspm5es/app.bsky.feed.post/3lg7wjoic422f,did:plc:st356ffwp3cf7o7y2hspm5es,They played themselves,2025-01-21T03:39:20.105Z
at://did:plc:vhbwcop2r4fgou5goqxnv7fp/app.bsky.feed.post/3lg7oujsgzk2r,at://did:plc:s5oztn3uh7hulgx2uqegnqkf/app.bsky.feed.post/3lg7t6oeags2p,did:plc:s5oztn3uh7hulgx2uqegnqkf,They didn't play those people.  Those people wanted this.,2025-01-21T02:39:29.647Z
at://did:plc:vhbwcop2r4fgou5goqxnv7fp/app.bsky.feed.post/3lg7oujsgzk2r,at://did:plc:m2jwyixxph7pzvei6nirjkom/app.bsky.feed.post/3lga7vdb5dc2o,did:plc:m2jwyixxph7pzvei6nirjkom,Trump’s remarks are not a surprise. My thought is people felt they were both equally as bad & it did not matter who won. All Harris needed to do was throw a bone. She was too scared & didn’t. She & Dems were the ones who got played. Nov is my last time voting. I won’t be fooled into voting again.,2025-01-21T06:26:54.665Z
at://did:plc:vhbwcop2r4fgou5goqxnv7fp/app.bsky.feed.post/3lg7oujsgzk2r,at://did:plc:7elzfw2v7quyjd2bg4vdowuo/app.bsky.feed.post/3lg7qhzx74s2c,did:plc:7elzfw2v7quyjd2bg4vdowuo,"Oh, fuck them. They have nobody to blame but themselves. Did they not have eyes or ears? Stop infantilizing grown ass adults.",2025-01-21T01:51:02.568Z
at://did:plc:vhbwcop2r4fgou5goqxnv7fp/app.bsky.feed.post/3lg7oujsgzk2r,at://did:plc:2ocwzslwnhbxvebyliujy2gj/app.bsky.feed.post/3lg7qpmds2s2x,did:plc:2ocwzslwnhbxvebyliujy2gj,Elon and Putin will never allow it.,2025-01-21T01:55:16.736Z
at://did:plc:zcdm3lkkhgtgwj7657lvnk4q/app.bsky.feed.post/3lg7ocdsxu22c,at://did:plc:scax73loc3jntft7pfiihzoz/app.bsky.feed.post/3lga4meaph22k,did:plc:scax73loc3jntft7pfiihzoz,I agree with not wasting a vote but you can't blame her this time.,2025-01-21T05:28:12.485Z
at://did:plc:zcdm3lkkhgtgwj7657lvnk4q/app.bsky.feed.post/3lg7ocdsxu22c,at://did:plc:6eq6eqhup7rwbphwo7ibq45k/app.bsky.feed.post/3lgaf2snd2k23,did:plc:6eq6eqhup7rwbphwo7ibq45k,36% also sit out of the elections 😡🤬,2025-01-21T07:59:27.275Z
at://did:plc:zcdm3lkkhgtgwj7657lvnk4q/app.bsky.feed.post/3lg7ocdsxu22c,at://did:plc:3f626nfjxtioi5foumjz76xw/app.bsky.feed.post/3lg7u4uiwgc2c,did:plc:3f626nfjxtioi5foumjz76xw,I have 0 confidence in any electronic voting machine.  Only trust hand written ballots… something about this outcome smells bad,2025-01-21T02:56:22.726Z
at://did:plc:vy7zsflpt7s7fgjkrxsnaxky/app.bsky.feed.post/3lg7mfwfmjc2d,at://did:plc:xcaztvndpkmce7qayro25jxa/app.bsky.feed.post/3lg7oz6eyjs2t,did:plc:xcaztvndpkmce7qayro25jxa,90 million missed a zero,2025-01-21T01:24:50.156Z
at://did:plc:vy7zsflpt7s7fgjkrxsnaxky/app.bsky.feed.post/3lg7mfwfmjc2d,at://did:plc:lstuo3vel7bxbi6jgge32xcn/app.bsky.feed.post/3lg7rxb2df22b,did:plc:lstuo3vel7bxbi6jgge32xcn,Jill Stein is a Russian agent. No one will convince me otherwise.,2025-01-21T02:17:27.068Z
at://did:plc:vy7zsflpt7s7fgjkrxsnaxky/app.bsky.feed.post/3lg7mfwfmjc2d,at://did:plc:i7vbejexk2o6gazcwcqw5brs/app.bsky.feed.post/3lg7pmh6mzk2h,did:plc:i7vbejexk2o6gazcwcqw5brs,I never want to hear another person say both parties are the same again. The risk to our planet alone should have been enough.,2025-01-21T01:35:36.914Z
